serviceType,vehicleMake,vehicleModel,vehicleYear,dayOfWeek,durationMinutes
Brake Service,Tata,Nexon,2024,SATURDAY,63
Battery Replacement,Honda,Elevate,2009,THURSDAY,36
General Inspection,Hyundai,Venue,2009,SATURDAY,59
Transmission Service,Maruti Suzuki,Ertiga,2022,MONDAY,142
Wheel Alignment,Hyundai,Venue,2014,WEDNESDAY,62
Tire Replacement,Honda,Amaze,2016,FRIDAY,51
General Inspection,Toyota,Innova,2013,WEDNESDAY,50
General Inspection,Hyundai,i20,2014,FRIDAY,46
Battery Replacement,Toyota,Fortuner,2015,TUESDAY,42
General Inspection,Toyota,Fortuner,2018,FRIDAY,44
Diagnostics,Hyundai,i20,2020,MONDAY,60
General Inspection,Kia,Sonet,2013,SATURDAY,49
Diagnostics,Mahindra,Scorpio,2018,SUNDAY,62
Tire Replacement,Maruti Suzuki,Brezza,2026,TUESDAY,52
Diagnostics,Maruti Suzuki,Brezza,2017,SATURDAY,76
Diagnostics,Ford,EcoSport,2015,TUESDAY,67
Brake Service,Kia,Seltos,2018,SUNDAY,66
Brake Service,Ford,Figo,2008,MONDAY,65
Diagnostics,Tata,Harrier,2019,FRIDAY,63
Transmission Service,Tata,Nexon,2020,SUNDAY,140
Engine Service,Maruti Suzuki,Ertiga,2025,THURSDAY,87
AC Repair,Kia,Seltos,2015,FRIDAY,88
General Inspection,Mahindra,XUV700,2026,THURSDAY,44
AC Repair,Mahindra,Bolero,2015,TUESDAY,78
Transmission Service,Ford,EcoSport,2026,FRIDAY,122
Diagnostics,Mahindra,Bolero,2011,SUNDAY,67
AC Repair,Maruti Suzuki,Swift,2020,WEDNESDAY,77
Diagnostics,Hyundai,i20,2014,SUNDAY,74
Oil Change,Tata,Altroz,2022,FRIDAY,36
Wheel Alignment,Kia,Sonet,2014,TUESDAY,55
Transmission Service,Toyota,Glanza,2019,MONDAY,121
Transmission Service,Hyundai,Verna,2012,SUNDAY,151
Engine Service,Hyundai,i20,2025,SUNDAY,108
Brake Service,Maruti Suzuki,Ertiga,2008,TUESDAY,64
Brake Service,Kia,Sonet,2020,THURSDAY,68
Engine Service,Honda,Elevate,2013,THURSDAY,111
Brake Service,Kia,Seltos,2017,SUNDAY,79
Battery Replacement,Tata,Nexon,2010,SATURDAY,53
Diagnostics,Kia,Seltos,2010,TUESDAY,66
AC Repair,Ford,Figo,2013,THURSDAY,72
Diagnostics,Kia,Sonet,2015,TUESDAY,62
AC Repair,Hyundai,Verna,2015,SATURDAY,84
Engine Service,Mahindra,XUV700,2009,FRIDAY,111
Diagnostics,Mahindra,XUV700,2026,THURSDAY,57
Engine Service,Toyota,Glanza,2024,MONDAY,91
Engine Service,Maruti Suzuki,Baleno,2023,SATURDAY,106
General Inspection,Toyota,Fortuner,2009,WEDNESDAY,37
Engine Service,Hyundai,Verna,2022,FRIDAY,109
Brake Service,Kia,Sonet,2017,WEDNESDAY,62
Battery Replacement,Hyundai,Venue,2026,WEDNESDAY,39
Battery Replacement,Hyundai,Venue,2008,WEDNESDAY,43
Diagnostics,Maruti Suzuki,Baleno,2024,MONDAY,59
Battery Replacement,Toyota,Glanza,2016,MONDAY,37
General Inspection,Tata,Altroz,2022,WEDNESDAY,43
Tire Replacement,Ford,EcoSport,2024,SUNDAY,47
Oil Change,Mahindra,XUV700,2012,FRIDAY,38
Diagnostics,Kia,Sonet,2015,SATURDAY,70
Diagnostics,Tata,Altroz,2026,SATURDAY,64
Wheel Alignment,Maruti Suzuki,Swift,2013,THURSDAY,56
AC Repair,Ford,Figo,2023,SATURDAY,98
Tire Replacement,Kia,Sonet,2023,WEDNESDAY,43
Battery Replacement,Kia,Seltos,2017,SUNDAY,38
Engine Service,Hyundai,i20,2025,SATURDAY,109
Brake Service,Kia,Sonet,2018,WEDNESDAY,65
Transmission Service,Kia,Sonet,2015,SATURDAY,162
Transmission Service,Honda,Elevate,2018,SATURDAY,148
Engine Service,Hyundai,i20,2010,MONDAY,101
AC Repair,Maruti Suzuki,Swift,2022,WEDNESDAY,74
Tire Replacement,Hyundai,i20,2010,MONDAY,57
Transmission Service,Honda,Elevate,2011,SATURDAY,168
Transmission Service,Tata,Punch,2026,SUNDAY,131
Battery Replacement,Maruti Suzuki,Baleno,2016,WEDNESDAY,31
Diagnostics,Toyota,Glanza,2018,WEDNESDAY,63
Battery Replacement,Maruti Suzuki,Ertiga,2009,THURSDAY,32
Wheel Alignment,Toyota,Innova,2022,MONDAY,63
Diagnostics,Honda,Elevate,2020,TUESDAY,57
Engine Service,Kia,Seltos,2011,THURSDAY,103
Wheel Alignment,Maruti Suzuki,Swift,2010,MONDAY,56
Diagnostics,Hyundai,Verna,2012,SATURDAY,72
Oil Change,Hyundai,Verna,2016,TUESDAY,32
Transmission Service,Hyundai,Verna,2023,THURSDAY,100
AC Repair,Maruti Suzuki,Baleno,2008,THURSDAY,95
Diagnostics,Maruti Suzuki,Ertiga,2018,SATURDAY,66
Wheel Alignment,Kia,Seltos,2010,WEDNESDAY,47
General Inspection,Ford,Figo,2014,TUESDAY,44
Engine Service,Hyundai,Verna,2014,WEDNESDAY,97
Brake Service,Ford,EcoSport,2022,SATURDAY,60
Tire Replacement,Tata,Nexon,2014,MONDAY,50
Diagnostics,Kia,Seltos,2025,SATURDAY,57
Wheel Alignment,Ford,Figo,2008,MONDAY,57
Oil Change,Kia,Seltos,2014,SUNDAY,40
Engine Service,Ford,EcoSport,2026,TUESDAY,92
Battery Replacement,Ford,EcoSport,2023,FRIDAY,38
Oil Change,Honda,Elevate,2012,MONDAY,35
Wheel Alignment,Maruti Suzuki,Brezza,2013,SUNDAY,65
Transmission Service,Maruti Suzuki,Swift,2011,THURSDAY,128
General Inspection,Honda,Amaze,2018,SUNDAY,45
AC Repair,Mahindra,XUV700,2026,FRIDAY,82
Tire Replacement,Hyundai,Creta,2018,MONDAY,56
General Inspection,Toyota,Innova,2021,TUESDAY,41
Diagnostics,Honda,Elevate,2009,TUESDAY,58
General Inspection,Kia,Seltos,2008,THURSDAY,48
General Inspection,Toyota,Glanza,2023,SATURDAY,48
Battery Replacement,Honda,City,2016,FRIDAY,39
Battery Replacement,Hyundai,Creta,2023,FRIDAY,39
General Inspection,Toyota,Glanza,2021,MONDAY,40
Engine Service,Maruti Suzuki,Ertiga,2025,FRIDAY,94
Tire Replacement,Ford,EcoSport,2016,MONDAY,53
Diagnostics,Ford,EcoSport,2013,SATURDAY,82
Oil Change,Hyundai,Venue,2017,TUESDAY,31
Diagnostics,Hyundai,i20,2009,FRIDAY,70
Battery Replacement,Tata,Nexon,2023,FRIDAY,44
Diagnostics,Mahindra,Scorpio,2014,SATURDAY,80
Brake Service,Honda,City,2018,TUESDAY,74
Tire Replacement,Kia,Seltos,2010,THURSDAY,57
Transmission Service,Ford,EcoSport,2021,TUESDAY,131
Battery Replacement,Kia,Sonet,2012,THURSDAY,46
Tire Replacement,Mahindra,Scorpio,2014,WEDNESDAY,56
Oil Change,Toyota,Innova,2011,SUNDAY,42
Diagnostics,Ford,Figo,2013,SUNDAY,64
Transmission Service,Tata,Altroz,2026,FRIDAY,147
Tire Replacement,Maruti Suzuki,Brezza,2024,THURSDAY,48
Diagnostics,Ford,Figo,2008,SATURDAY,72
AC Repair,Honda,City,2018,THURSDAY,64
Transmission Service,Tata,Nexon,2021,MONDAY,115
Oil Change,Ford,EcoSport,2021,FRIDAY,29
General Inspection,Ford,Figo,2015,MONDAY,50
Engine Service,Hyundai,Verna,2014,TUESDAY,99
General Inspection,Hyundai,Verna,2017,TUESDAY,47
Diagnostics,Hyundai,Verna,2022,SUNDAY,69
Battery Replacement,Mahindra,Bolero,2022,SATURDAY,46
Oil Change,Maruti Suzuki,Brezza,2018,FRIDAY,38
Wheel Alignment,Honda,Elevate,2010,FRIDAY,63
Brake Service,Hyundai,Venue,2009,MONDAY,66
Oil Change,Mahindra,Scorpio,2013,SATURDAY,42
Engine Service,Maruti Suzuki,Baleno,2012,WEDNESDAY,105
Diagnostics,Honda,Elevate,2015,WEDNESDAY,65
Brake Service,Toyota,Fortuner,2021,WEDNESDAY,69
Diagnostics,Ford,EcoSport,2023,SATURDAY,67
Engine Service,Toyota,Glanza,2019,SUNDAY,101
General Inspection,Honda,Amaze,2010,MONDAY,42
AC Repair,Tata,Harrier,2010,MONDAY,84
Battery Replacement,Ford,EcoSport,2014,FRIDAY,44
Oil Change,Toyota,Glanza,2025,TUESDAY,27
Oil Change,Toyota,Innova,2010,MONDAY,36
Tire Replacement,Mahindra,Scorpio,2026,WEDNESDAY,41
Diagnostics,Ford,Figo,2017,FRIDAY,56
Battery Replacement,Toyota,Innova,2016,TUESDAY,30
Oil Change,Tata,Harrier,2017,THURSDAY,34
Battery Replacement,Tata,Harrier,2013,TUESDAY,43
Battery Replacement,Tata,Altroz,2011,MONDAY,37
Brake Service,Tata,Punch,2016,WEDNESDAY,70
Oil Change,Mahindra,Scorpio,2012,WEDNESDAY,39
Diagnostics,Tata,Harrier,2011,MONDAY,60
Battery Replacement,Ford,Figo,2012,MONDAY,43
Engine Service,Mahindra,Bolero,2017,THURSDAY,119
Transmission Service,Tata,Punch,2018,SATURDAY,132
General Inspection,Ford,EcoSport,2012,SATURDAY,50
AC Repair,Honda,Amaze,2019,MONDAY,74
Brake Service,Hyundai,Creta,2026,FRIDAY,65
Wheel Alignment,Honda,City,2010,FRIDAY,73
Diagnostics,Maruti Suzuki,Brezza,2014,THURSDAY,60
Oil Change,Mahindra,Scorpio,2012,SATURDAY,44
AC Repair,Mahindra,Scorpio,2019,MONDAY,74
Diagnostics,Maruti Suzuki,Baleno,2022,SATURDAY,71
AC Repair,Ford,Figo,2013,SUNDAY,87
AC Repair,Tata,Nexon,2012,TUESDAY,67
Wheel Alignment,Ford,Figo,2010,FRIDAY,62
AC Repair,Toyota,Glanza,2013,FRIDAY,82
Diagnostics,Tata,Altroz,2013,SUNDAY,65
Oil Change,Toyota,Fortuner,2017,THURSDAY,36
Engine Service,Ford,EcoSport,2008,SUNDAY,124
Diagnostics,Maruti Suzuki,Ertiga,2021,TUESDAY,58
Diagnostics,Honda,City,2011,SUNDAY,68
General Inspection,Mahindra,Bolero,2023,FRIDAY,56
AC Repair,Toyota,Fortuner,2023,SATURDAY,86
Transmission Service,Hyundai,Venue,2013,FRIDAY,135
Oil Change,Tata,Harrier,2022,SATURDAY,37
Wheel Alignment,Mahindra,Scorpio,2019,MONDAY,56
Wheel Alignment,Toyota,Fortuner,2010,FRIDAY,64
General Inspection,Tata,Harrier,2018,SUNDAY,54
Wheel Alignment,Toyota,Fortuner,2019,MONDAY,50
Battery Replacement,Hyundai,Creta,2024,WEDNESDAY,35
Brake Service,Ford,Figo,2018,TUESDAY,69
Tire Replacement,Honda,Elevate,2024,SUNDAY,52
Engine Service,Maruti Suzuki,Brezza,2022,MONDAY,98
Oil Change,Ford,Figo,2017,SATURDAY,39
Brake Service,Tata,Punch,2024,SUNDAY,71
Wheel Alignment,Hyundai,i20,2015,TUESDAY,56
Battery Replacement,Honda,Amaze,2012,TUESDAY,42
General Inspection,Maruti Suzuki,Swift,2023,SUNDAY,47
AC Repair,Hyundai,Creta,2011,MONDAY,85
Oil Change,Ford,EcoSport,2016,MONDAY,30
General Inspection,Toyota,Fortuner,2008,SUNDAY,54
Transmission Service,Honda,Elevate,2014,TUESDAY,141
Brake Service,Hyundai,i20,2012,SUNDAY,77
Transmission Service,Mahindra,Scorpio,2013,SUNDAY,143
Engine Service,Honda,Elevate,2026,MONDAY,100
Oil Change,Honda,Elevate,2014,WEDNESDAY,37
Battery Replacement,Hyundai,i20,2014,FRIDAY,44
Transmission Service,Tata,Punch,2011,TUESDAY,131
Brake Service,Kia,Sonet,2014,FRIDAY,72
Brake Service,Maruti Suzuki,Brezza,2011,FRIDAY,77
Battery Replacement,Ford,Figo,2017,FRIDAY,40
Diagnostics,Maruti Suzuki,Brezza,2017,THURSDAY,59
Transmission Service,Toyota,Fortuner,2022,TUESDAY,116
AC Repair,Honda,City,2023,SATURDAY,81
Brake Service,Tata,Nexon,2023,SATURDAY,77
General Inspection,Maruti Suzuki,Baleno,2020,THURSDAY,46
Transmission Service,Maruti Suzuki,Baleno,2010,WEDNESDAY,152
Transmission Service,Kia,Seltos,2015,SUNDAY,148
AC Repair,Ford,Figo,2026,FRIDAY,72
AC Repair,Mahindra,Scorpio,2020,THURSDAY,87
Engine Service,Toyota,Innova,2022,MONDAY,102
Tire Replacement,Tata,Nexon,2011,SATURDAY,65
Oil Change,Maruti Suzuki,Brezza,2008,TUESDAY,32
Battery Replacement,Toyota,Fortuner,2011,SUNDAY,49
General Inspection,Ford,Figo,2014,WEDNESDAY,43
Wheel Alignment,Mahindra,Bolero,2025,MONDAY,46
Oil Change,Kia,Seltos,2020,THURSDAY,31
Diagnostics,Hyundai,i20,2013,FRIDAY,72
Wheel Alignment,Tata,Punch,2021,TUESDAY,51
General Inspection,Ford,Figo,2023,FRIDAY,47
Battery Replacement,Hyundai,Verna,2016,THURSDAY,36
Brake Service,Toyota,Glanza,2009,MONDAY,68
Transmission Service,Hyundai,Creta,2019,WEDNESDAY,136
Brake Service,Kia,Seltos,2021,WEDNESDAY,56
Brake Service,Kia,Sonet,2009,SATURDAY,82
Wheel Alignment,Maruti Suzuki,Swift,2017,MONDAY,59
Brake Service,Tata,Nexon,2025,WEDNESDAY,69
AC Repair,Kia,Sonet,2008,SATURDAY,97
Diagnostics,Hyundai,Venue,2020,FRIDAY,56
Diagnostics,Maruti Suzuki,Baleno,2018,THURSDAY,65
Engine Service,Mahindra,XUV700,2017,WEDNESDAY,106
General Inspection,Honda,Amaze,2016,MONDAY,44
Wheel Alignment,Kia,Seltos,2010,SATURDAY,69
Brake Service,Toyota,Innova,2026,SUNDAY,64
Engine Service,Ford,Figo,2014,WEDNESDAY,107
Wheel Alignment,Toyota,Glanza,2025,WEDNESDAY,44
Tire Replacement,Kia,Sonet,2016,FRIDAY,46
Engine Service,Tata,Nexon,2024,SUNDAY,100
Battery Replacement,Ford,EcoSport,2022,WEDNESDAY,41
Transmission Service,Kia,Seltos,2024,TUESDAY,117
Brake Service,Ford,EcoSport,2015,TUESDAY,68
AC Repair,Kia,Sonet,2010,SATURDAY,83
Tire Replacement,Kia,Sonet,2017,SATURDAY,61
Tire Replacement,Kia,Seltos,2011,TUESDAY,59
Tire Replacement,Hyundai,Creta,2017,THURSDAY,36
AC Repair,Hyundai,Creta,2013,WEDNESDAY,83
Battery Replacement,Hyundai,Venue,2016,SATURDAY,40
Oil Change,Ford,EcoSport,2009,SUNDAY,38
General Inspection,Mahindra,Bolero,2017,SUNDAY,58
Brake Service,Maruti Suzuki,Brezza,2012,TUESDAY,76
General Inspection,Maruti Suzuki,Ertiga,2023,MONDAY,42
Brake Service,Mahindra,Bolero,2020,SUNDAY,74
Tire Replacement,Kia,Seltos,2012,MONDAY,58
Diagnostics,Kia,Sonet,2026,MONDAY,68
Diagnostics,Mahindra,Bolero,2011,WEDNESDAY,59
Tire Replacement,Toyota,Innova,2019,THURSDAY,47
Brake Service,Toyota,Innova,2009,SUNDAY,77
Oil Change,Honda,Amaze,2025,THURSDAY,25
Wheel Alignment,Mahindra,Bolero,2011,FRIDAY,69
AC Repair,Hyundai,Verna,2016,WEDNESDAY,68
General Inspection,Honda,Amaze,2014,SUNDAY,57
Brake Service,Kia,Seltos,2016,SUNDAY,65
General Inspection,Ford,Figo,2021,SUNDAY,45
General Inspection,Tata,Harrier,2024,MONDAY,45
Brake Service,Kia,Sonet,2022,SATURDAY,74
Battery Replacement,Ford,EcoSport,2008,THURSDAY,41
Tire Replacement,Toyota,Glanza,2026,MONDAY,48
Battery Replacement,Kia,Sonet,2022,THURSDAY,38
Battery Replacement,Toyota,Innova,2026,SUNDAY,37
General Inspection,Kia,Sonet,2013,THURSDAY,49
AC Repair,Honda,City,2008,FRIDAY,81
General Inspection,Ford,EcoSport,2016,SATURDAY,47
Battery Replacement,Hyundai,Verna,2021,FRIDAY,39
Brake Service,Tata,Nexon,2008,SATURDAY,84
Engine Service,Kia,Sonet,2023,MONDAY,94
Wheel Alignment,Toyota,Fortuner,2023,THURSDAY,55
Battery Replacement,Kia,Seltos,2014,SUNDAY,43
AC Repair,Tata,Punch,2012,MONDAY,92
Wheel Alignment,Toyota,Innova,2022,TUESDAY,47
Diagnostics,Maruti Suzuki,Swift,2023,TUESDAY,63
Brake Service,Kia,Seltos,2020,SATURDAY,67
General Inspection,Maruti Suzuki,Swift,2009,WEDNESDAY,50
Tire Replacement,Ford,Figo,2009,MONDAY,53
Wheel Alignment,Kia,Sonet,2012,FRIDAY,68
Oil Change,Tata,Harrier,2013,FRIDAY,34
Diagnostics,Tata,Nexon,2018,SATURDAY,70
Engine Service,Kia,Seltos,2016,MONDAY,91
Diagnostics,Toyota,Fortuner,2019,THURSDAY,74
Wheel Alignment,Toyota,Fortuner,2016,FRIDAY,55
Brake Service,Ford,EcoSport,2025,SUNDAY,78
Diagnostics,Hyundai,Creta,2012,MONDAY,64
Wheel Alignment,Tata,Punch,2021,MONDAY,54
Diagnostics,Hyundai,Verna,2019,SATURDAY,63
General Inspection,Tata,Nexon,2019,MONDAY,42
Tire Replacement,Toyota,Innova,2013,SATURDAY,56
Transmission Service,Honda,Elevate,2008,FRIDAY,148
Transmission Service,Tata,Punch,2010,TUESDAY,144
Brake Service,Hyundai,Venue,2011,THURSDAY,62
Brake Service,Maruti Suzuki,Ertiga,2012,MONDAY,80
Diagnostics,Ford,Figo,2008,WEDNESDAY,70
Oil Change,Ford,Figo,2026,TUESDAY,30
Wheel Alignment,Mahindra,XUV700,2010,FRIDAY,63
Transmission Service,Kia,Seltos,2020,WEDNESDAY,142
AC Repair,Maruti Suzuki,Swift,2014,TUESDAY,96
AC Repair,Kia,Sonet,2012,MONDAY,78
Wheel Alignment,Tata,Harrier,2011,SUNDAY,73
Brake Service,Honda,Amaze,2022,THURSDAY,55
AC Repair,Maruti Suzuki,Brezza,2019,FRIDAY,81
Battery Replacement,Kia,Sonet,2010,MONDAY,32
Tire Replacement,Tata,Punch,2024,SATURDAY,52
Engine Service,Maruti Suzuki,Ertiga,2022,THURSDAY,109
Wheel Alignment,Tata,Altroz,2017,SUNDAY,65
Tire Replacement,Kia,Sonet,2026,MONDAY,35
Engine Service,Maruti Suzuki,Brezza,2021,MONDAY,89
Diagnostics,Toyota,Glanza,2016,FRIDAY,70
General Inspection,Ford,EcoSport,2013,SUNDAY,53
AC Repair,Hyundai,i20,2021,SATURDAY,83
Diagnostics,Ford,Figo,2018,SUNDAY,73
Battery Replacement,Honda,City,2010,SATURDAY,50
General Inspection,Kia,Seltos,2008,THURSDAY,47
General Inspection,Hyundai,Creta,2023,THURSDAY,39
Transmission Service,Ford,Figo,2019,SATURDAY,127
AC Repair,Toyota,Innova,2012,TUESDAY,85
Oil Change,Honda,City,2014,THURSDAY,34
Battery Replacement,Honda,Amaze,2025,TUESDAY,41
Battery Replacement,Ford,Figo,2008,MONDAY,44
Battery Replacement,Tata,Punch,2023,THURSDAY,40
Tire Replacement,Honda,Amaze,2026,SUNDAY,50
AC Repair,Hyundai,Venue,2008,MONDAY,75
AC Repair,Ford,Figo,2009,THURSDAY,75
AC Repair,Ford,Figo,2015,SATURDAY,92
Transmission Service,Mahindra,Bolero,2010,WEDNESDAY,142
AC Repair,Ford,EcoSport,2023,FRIDAY,82
AC Repair,Hyundai,Creta,2017,SATURDAY,87
Tire Replacement,Ford,Figo,2022,TUESDAY,41
Brake Service,Ford,EcoSport,2017,SATURDAY,76
AC Repair,Kia,Sonet,2023,SUNDAY,84
Tire Replacement,Toyota,Fortuner,2010,SATURDAY,61
Diagnostics,Tata,Altroz,2014,TUESDAY,61
AC Repair,Ford,Figo,2015,TUESDAY,77
Engine Service,Hyundai,i20,2019,WEDNESDAY,94
Engine Service,Hyundai,i20,2018,THURSDAY,103
General Inspection,Honda,City,2025,TUESDAY,28
Brake Service,Hyundai,Venue,2012,SUNDAY,79
Engine Service,Maruti Suzuki,Swift,2022,SUNDAY,87
General Inspection,Maruti Suzuki,Swift,2025,MONDAY,43
Engine Service,Maruti Suzuki,Baleno,2011,SUNDAY,119
Wheel Alignment,Ford,Figo,2011,TUESDAY,64
Brake Service,Mahindra,XUV700,2011,SUNDAY,83
Oil Change,Honda,Amaze,2018,WEDNESDAY,40
Engine Service,Tata,Nexon,2016,WEDNESDAY,99
Tire Replacement,Tata,Punch,2015,TUESDAY,46
AC Repair,Kia,Sonet,2022,SUNDAY,70
Oil Change,Ford,EcoSport,2008,SATURDAY,40
Engine Service,Maruti Suzuki,Swift,2018,WEDNESDAY,86
AC Repair,Hyundai,Verna,2009,SATURDAY,102
Battery Replacement,Hyundai,Venue,2021,THURSDAY,41
Wheel Alignment,Mahindra,Scorpio,2008,SUNDAY,60
Wheel Alignment,Tata,Punch,2022,SATURDAY,62
Transmission Service,Ford,Figo,2020,SUNDAY,156
Tire Replacement,Toyota,Innova,2009,FRIDAY,52
Battery Replacement,Toyota,Innova,2010,FRIDAY,48
Engine Service,Toyota,Fortuner,2018,SUNDAY,107
Engine Service,Toyota,Innova,2017,SATURDAY,113
AC Repair,Maruti Suzuki,Swift,2019,WEDNESDAY,71
Oil Change,Maruti Suzuki,Brezza,2017,FRIDAY,33
Oil Change,Ford,Figo,2015,SUNDAY,37
Engine Service,Honda,Amaze,2017,WEDNESDAY,88
Transmission Service,Tata,Punch,2024,SATURDAY,141
Transmission Service,Honda,Amaze,2022,MONDAY,136
Battery Replacement,Kia,Sonet,2010,MONDAY,48
Diagnostics,Honda,Amaze,2010,WEDNESDAY,69
Engine Service,Kia,Sonet,2016,FRIDAY,96
Diagnostics,Ford,Figo,2013,TUESDAY,64
Engine Service,Tata,Punch,2022,TUESDAY,105
Engine Service,Maruti Suzuki,Baleno,2022,THURSDAY,92
Oil Change,Tata,Harrier,2011,FRIDAY,38
Brake Service,Toyota,Innova,2024,TUESDAY,59
General Inspection,Mahindra,Scorpio,2019,WEDNESDAY,43
Battery Replacement,Tata,Punch,2009,WEDNESDAY,42
Wheel Alignment,Honda,City,2023,MONDAY,55
Oil Change,Kia,Sonet,2026,WEDNESDAY,32
Transmission Service,Ford,Figo,2020,THURSDAY,140
Battery Replacement,Tata,Punch,2022,SATURDAY,36
Diagnostics,Tata,Harrier,2010,SUNDAY,66
AC Repair,Honda,Amaze,2018,FRIDAY,74
Oil Change,Ford,Figo,2010,SUNDAY,39
Wheel Alignment,Maruti Suzuki,Swift,2014,FRIDAY,61
Engine Service,Hyundai,Creta,2023,FRIDAY,102
Engine Service,Tata,Nexon,2016,SUNDAY,108
Tire Replacement,Honda,Elevate,2026,THURSDAY,50
Brake Service,Kia,Seltos,2023,SUNDAY,72
Oil Change,Mahindra,Scorpio,2013,THURSDAY,38
AC Repair,Toyota,Innova,2011,MONDAY,84
Engine Service,Tata,Harrier,2012,TUESDAY,105
Wheel Alignment,Kia,Seltos,2009,FRIDAY,64
Brake Service,Tata,Nexon,2009,WEDNESDAY,67
AC Repair,Mahindra,Scorpio,2020,SUNDAY,86
General Inspection,Hyundai,Creta,2015,SUNDAY,47
Engine Service,Kia,Seltos,2016,MONDAY,97
Brake Service,Ford,Figo,2010,THURSDAY,79
Oil Change,Toyota,Fortuner,2026,SATURDAY,35
General Inspection,Honda,Elevate,2012,WEDNESDAY,43
Engine Service,Honda,City,2019,FRIDAY,98
Battery Replacement,Honda,Elevate,2021,FRIDAY,39
Diagnostics,Toyota,Fortuner,2013,MONDAY,64
Oil Change,Ford,Figo,2016,SUNDAY,32
Tire Replacement,Toyota,Innova,2013,SATURDAY,44
Engine Service,Maruti Suzuki,Ertiga,2010,THURSDAY,101
Engine Service,Toyota,Glanza,2014,FRIDAY,92
Engine Service,Mahindra,Bolero,2018,SATURDAY,112
Diagnostics,Toyota,Innova,2018,WEDNESDAY,69
Tire Replacement,Ford,Figo,2008,SATURDAY,68
Transmission Service,Ford,EcoSport,2008,SATURDAY,183
Battery Replacement,Kia,Sonet,2020,FRIDAY,46
General Inspection,Hyundai,Verna,2011,WEDNESDAY,51
AC Repair,Mahindra,Scorpio,2013,SUNDAY,90
Oil Change,Maruti Suzuki,Brezza,2019,TUESDAY,28
Diagnostics,Hyundai,Creta,2008,SUNDAY,69
Brake Service,Honda,City,2017,SUNDAY,86
Tire Replacement,Honda,Amaze,2019,MONDAY,47
Transmission Service,Honda,City,2014,SUNDAY,177
AC Repair,Maruti Suzuki,Ertiga,2026,FRIDAY,65
Transmission Service,Tata,Nexon,2026,TUESDAY,121
General Inspection,Tata,Harrier,2026,SUNDAY,45
Wheel Alignment,Honda,Elevate,2008,SATURDAY,74
Engine Service,Toyota,Fortuner,2025,THURSDAY,101
Oil Change,Mahindra,Scorpio,2021,WEDNESDAY,32
General Inspection,Ford,Figo,2019,FRIDAY,46
Tire Replacement,Hyundai,Venue,2021,FRIDAY,41
Diagnostics,Mahindra,XUV700,2020,TUESDAY,53
Oil Change,Honda,Elevate,2021,MONDAY,37
Tire Replacement,Honda,City,2018,WEDNESDAY,55
Oil Change,Ford,Figo,2008,FRIDAY,39
Brake Service,Toyota,Innova,2011,THURSDAY,71
Oil Change,Mahindra,Bolero,2015,MONDAY,37
Transmission Service,Ford,EcoSport,2022,FRIDAY,155
Oil Change,Kia,Sonet,2010,SUNDAY,45
Battery Replacement,Hyundai,Verna,2009,WEDNESDAY,38
General Inspection,Hyundai,i20,2017,SUNDAY,46
AC Repair,Kia,Seltos,2021,TUESDAY,82
Transmission Service,Hyundai,Verna,2020,THURSDAY,113
AC Repair,Maruti Suzuki,Ertiga,2008,THURSDAY,73
General Inspection,Maruti Suzuki,Swift,2010,FRIDAY,49
Tire Replacement,Tata,Harrier,2019,THURSDAY,43
Battery Replacement,Honda,City,2009,MONDAY,42
Battery Replacement,Toyota,Fortuner,2021,FRIDAY,45
Wheel Alignment,Tata,Altroz,2023,WEDNESDAY,50
Transmission Service,Mahindra,Scorpio,2019,MONDAY,113
Battery Replacement,Hyundai,Creta,2024,SUNDAY,39
Engine Service,Hyundai,Verna,2019,TUESDAY,110
Tire Replacement,Maruti Suzuki,Ertiga,2014,SATURDAY,58
Diagnostics,Ford,Figo,2026,FRIDAY,65
AC Repair,Mahindra,XUV700,2011,THURSDAY,80
Oil Change,Ford,EcoSport,2008,SATURDAY,41
Transmission Service,Honda,City,2023,SATURDAY,152
Brake Service,Kia,Seltos,2020,TUESDAY,65
Oil Change,Maruti Suzuki,Ertiga,2008,FRIDAY,37
General Inspection,Tata,Harrier,2022,TUESDAY,36
Brake Service,Hyundai,i20,2014,TUESDAY,59
Wheel Alignment,Tata,Altroz,2016,SATURDAY,69
Tire Replacement,Tata,Altroz,2008,TUESDAY,61
Wheel Alignment,Maruti Suzuki,Swift,2012,THURSDAY,53
Brake Service,Honda,Amaze,2022,TUESDAY,53
Brake Service,Mahindra,Bolero,2013,FRIDAY,94
AC Repair,Maruti Suzuki,Swift,2012,TUESDAY,78
Tire Replacement,Honda,Elevate,2020,SATURDAY,51
Tire Replacement,Hyundai,Creta,2025,WEDNESDAY,50
Battery Replacement,Mahindra,XUV700,2009,SATURDAY,50
Engine Service,Ford,EcoSport,2010,SUNDAY,99
Diagnostics,Maruti Suzuki,Baleno,2024,THURSDAY,56
Engine Service,Mahindra,Scorpio,2024,THURSDAY,79
Battery Replacement,Mahindra,Bolero,2019,FRIDAY,38
Diagnostics,Ford,Figo,2026,THURSDAY,47
Transmission Service,Hyundai,Creta,2015,TUESDAY,127
Tire Replacement,Toyota,Glanza,2020,FRIDAY,52
Battery Replacement,Mahindra,Scorpio,2025,MONDAY,36
Diagnostics,Mahindra,XUV700,2026,MONDAY,57
